Construction BOQ,جدول كميات البناء
Unit Type,نوع الوحدة
Owners / Ownership,الملاك والملكية
Inventory Reports,تقارير المخزون
Executive / CFO,الإدارة التنفيذية والمدير المالي
BOQ / Construction,جدول الكميات والإنشاء
Procurement / Stock,المشتريات والمخزون
Measurement / IPC,القياسات والمستخلصات
Financial Dimensions / GL Traceability,الأبعاد المالية وتتبع دفتر الأستاذ
Additional Information,معلومات إضافية
Planned BOQ quantity for this operational work item.,كمية جدول الكميات المخططة لبند العمل التشغيلي.
Quantity financially certified through approved IPCs.,الكمية المعتمدة مالياً من خلال مستخلصات مقاول معتمدة.
Quantity measured and verified through Measurement Book entries.,الكمية المقاسة والمتحقق منها من خلال قيود دفتر القياسات.
Final accepted quantity after engineering/QS review.,الكمية النهائية المقبولة بعد مراجعة المهندس أو حاسب الكميات.
Quantity measured in this entry before cumulative calculation.,الكمية المقاسة في هذا القيد قبل الحساب التراكمي.
Amount payable after retention, advance recovery
Management cost allocated to this unit for profitability analysis.,تكلفة إدارية موزعة على هذه الوحدة لتحليل الربحية.
Expected gross margin percentage based on allocated cost and expected sale price.,نسبة الهامش الإجمالي المتوقعة بناءً على التكلفة الموزعة وسعر البيع المتوقع.
Last date this reservation remains active before expiry.,آخر تاريخ يبقى فيه الحجز نشطاً قبل انتهاء الصلاحية.
Non-accounting reservation amount recorded for commercial tracking only.,مبلغ حجز غير محاسبي مسجل للمتابعة التجارية فقط.
If enabled, missing required dimensions may block transactions. Keep disabled until the team is ready.
BOQ & Work Items,جدول الكميات وبنود العمل
Budget & Schedule,الميزانية والجدول الزمني
Progress & Site Cost,التقدم وتكلفة الموقع
Financial Traceability,التتبع المالي
Procurement Controls,ضوابط المشتريات
Procurement Documents,مستندات المشتريات
Stock & Site Warehouses,المخزون ومخازن الموقع
Procurement Reports,تقارير المشتريات
Measurement,القياسات
IPC Certification,اعتماد المستخلصات
Traceability,التتبع
Reports,التقارير
Contractor Control,ضبط المقاولين
Retention & Advances,المحتجزات والدفعات المقدمة
Guarantees,الضمانات
Contractor Reports,تقارير المقاولين
Inventory Structure,هيكل المخزون العقاري
Ownership,الملكية
Unit Costing,تكلفة الوحدات
Unit Reports,تقارير الوحدات
Construction,البناء
Procurement,المشتريات
Contractor,المقاول
CFO,المدير المالي
Financial Dimensions,الأبعاد المالية
Future Sales & Rental Foundation,أساس المبيعات والتأجير القادم
Construction BOQ Cost Analysis,تحليل تكلفة جدول كميات البناء
Construction BOQ Variance,انحراف جدول كميات البناء
Work Item Procurement Summary,ملخص مشتريات بند العمل
BOQ Procurement Pipeline,مسار مشتريات جدول الكميات
Site Warehouse Consumption,استهلاك مخازن الموقع
Procurement Budget Control,ضبط ميزانية المشتريات
Measurement Book Register,سجل دفاتر القياس
Work Item Measurement Progress,تقدم قياس بند العمل
Measurement Verification Queue,قائمة انتظار تحقق القياسات
IPC Register,سجل مستخلصات المقاولين
IPC Line Details,تفاصيل بنود المستخلصات
Measurement to IPC Traceability,تتبع القياسات إلى المستخلصات
Contractor IPC Summary,ملخص مستخلصات المقاولين
Contractor Account Statement,كشف حساب المقاول
Retention Register Report,تقرير سجل المحتجزات
Advance Recovery Report,تقرير استرداد الدفعات المقدمة
Contractor Exposure Summary,ملخص تعرضات المقاولين
Guarantee Register Report,تقرير سجل الضمانات
Project Financial Snapshot Report,تقرير الملخص المالي للمشروع
CFO Project Control Summary,ملخص رقابة المشروع للمدير المالي
Work Item Financial Traceability,التتبع المالي لبند العمل
Contractor Financial Exposure,التعرض المالي للمقاول
Project Cash Flow Forecast Report,تقرير توقع التدفق النقدي للمشروع
Project Cash Requirement Summary,ملخص الاحتياج النقدي للمشروع
Contractor Payment Forecast,توقع دفعات المقاولين
Retention Release Forecast,توقع الإفراج عن المحتجزات
Project EVM Metrics Report,تقرير مؤشرات القيمة المكتسبة للمشروع
EVM Forecast Summary,ملخص توقعات القيمة المكتسبة
Project Performance Dashboard Report,تقرير لوحة أداء المشروع
Unit Inventory Report,تقرير مخزون الوحدات
Unit Availability Report,تقرير توفر الوحدات
Ownership Summary Report,تقرير ملخص الملكية
Real Estate Project Summary,ملخص المشروع العقاري
Unit Cost Allocation Report,تقرير توزيع تكلفة الوحدات
Unit Profitability Report,تقرير ربحية الوحدات
Real Estate Project Profitability Summary,ملخص ربحية المشروع العقاري
Building Profitability Summary,ملخص ربحية المبنى
GL Dimension Traceability,تتبع القيود حسب الأبعاد
Unit Financial Ledger,كشف مالي للوحدة
Work Item Financial Ledger,كشف مالي لبند العمل
Cost Code Financial Analysis,تحليل مالي حسب كود التكلفة
Project Unit Cost Matrix,مصفوفة تكلفة وحدات المشروع
Project Cost Summary,ملخص تكلفة المشروع
Budget vs Actual Cost,الميزانية مقابل التكلفة الفعلية
Budget Variance Analysis,تحليل انحراف الميزانية
Advancement vs Cost,التقدم مقابل التكلفة
Advancement vs Schedule,التقدم مقابل الجدول الزمني
Revenue vs Billing,الإيراد مقابل الفوترة
Material Acquisition Summary,ملخص توريد المواد
Subcontract Status,حالة عقود الباطن
Change Order History,سجل أوامر التغيير
Project,المشروع
Company,الشركة
Contractor,المقاول
Supplier,المورد
Status,الحالة
Workflow State,حالة سير العمل
BOQ,جدول الكميات
WBS,هيكل العمل
WBS Code,كود هيكل العمل
Category,الفئة
Quantity,الكمية
UOM,وحدة القياس
Unit Rate,سعر الوحدة
Amount,المبلغ
Final Amount,المبلغ النهائي
Planned Qty,الكمية المخططة
Requested Qty,الكمية المطلوبة
Ordered Qty,الكمية المطلوبة بالشراء
Received Qty,الكمية المستلمة
Invoiced Qty,الكمية المفوترة
Consumed Qty,الكمية المستهلكة
Measured Qty,الكمية المقاسة
Certified Qty,الكمية المعتمدة
Remaining Qty,الكمية المتبقية
Planned Amount,المبلغ المخطط
Committed Amount,مبلغ الالتزام
Invoiced Amount,المبلغ المفوتر
Consumed Amount,المبلغ المستهلك
Measured Amount,المبلغ المقاس
Certified Amount,المبلغ المعتمد
Variance Amount,مبلغ الانحراف
Variance %,نسبة الانحراف
Risk Status,حالة المخاطر
Gross Amount,إجمالي المبلغ
Net Payable,صافي المستحق
Retention Amount,مبلغ المحتجز
Retention Held,المحتجز المحجوز
Advance Recovery,استرداد الدفعة المقدمة
Penalties,الغرامات
Paid Amount,المبلغ المدفوع
Outstanding Amount,المبلغ المستحق
Outstanding Balance,الرصيد المستحق
Purchase Invoice,فاتورة شراء
Payment Entry,قيد دفع
Material Request,طلب مواد
Purchase Order,أمر شراء
Purchase Receipt,إيصال شراء
Stock Entry,قيد مخزون
Warehouse,مخزن
Site Warehouse,مخزن الموقع
Period Start,بداية الفترة
Period End,نهاية الفترة
Verified By,تم التحقق بواسطة
Verified On,تاريخ التحقق
Measured By,تم القياس بواسطة
Measurement Date,تاريخ القياس
Engineer Comment,تعليق المهندس
QS Comment,تعليق مهندس الكميات
BOQ Total,إجمالي جدول الكميات
Certified Value,القيمة المعتمدة
Actual Cost,التكلفة الفعلية
Planned Value,القيمة المخططة
Cost Variance,انحراف التكلفة
Schedule Variance,انحراف الجدول الزمني
Cash Risk,مخاطر النقدية
EVM Risk,مخاطر القيمة المكتسبة
Overall Status,الحالة العامة
Recommendation,التوصية
Recommendations,التوصيات
Expected Sale Price,سعر البيع المتوقع
Expected Rent,الإيجار المتوقع
Expected Monthly Rent,الإيجار الشهري المتوقع
Allocated Cost,التكلفة الموزعة
Expected Margin,الهامش المتوقع
Expected Margin %,نسبة الهامش المتوقع
Profitability Status,حالة الربحية
Available,متاحة
Reserved,محجوزة
Sold,مباعة
Rented,مؤجرة
Blocked,محظورة
Under Construction,تحت الإنشاء
Draft,مسودة
Submitted,مقدم
Under Review,قيد المراجعة
Approved,معتمد
Locked,مقفل
Cancelled,ملغي
Verified,تم التحقق
Rejected,مرفوض
Certified,معتمد للدفع
Invoice Created,تم إنشاء الفاتورة
Partially Paid,مدفوع جزئياً
Paid,مدفوع
Closed,مغلق
Generated,تم التوليد
Reviewed,تمت المراجعة
Archived,مؤرشف
Calculated,تم الحساب
Applied,مطبق
Held,محجوز
Eligible for Release,مؤهل للإفراج
Partially Released,مفرج عنه جزئياً
Released,مفرج عنه
Active,نشط
Suspended,معلق
Expired,منتهي
Expiring Soon,قارب على الانتهاء
Profitable,مربحة
Watch,تحت المراقبة
Loss Risk,خطر خسارة
Not Priced,غير مسعرة
Green,أخضر
Yellow,أصفر
Red,أحمر
On Track,ضمن المسار
At Risk,عالي المخاطر
Warning,تحذير
Blocking,منع
Silent,صامت
"Operational work item generated from an approved BOQ line. Used for procurement, measurement, IPC, and cost traceability.",بند عمل تشغيلي يتم توليده من بند معتمد في جدول الكميات ويستخدم للمشتريات والقياسات والمستخلصات وتتبع التكلفة.
"Groups verified field measurements for a project, contractor, BOQ, and period before IPC generation.",يجمع القياسات الميدانية المعتمدة للمشروع والمقاول وجدول الكميات والفترة قبل إنشاء المستخلص.
Contractor payment certificate generated from verified measurement entries.,مستخلص دفع للمقاول يتم إنشاؤه من قيود قياس تم التحقق منها.
"Standalone real estate asset/unit used for inventory, cost allocation, sales, and rental workflows.",وحدة عقارية مستقلة تستخدم للمخزون وتوزيع التكلفة ومسارات البيع والتأجير.
Management allocation of project cost to real estate units for profitability analysis. Does not create accounting entries.,توزيع إداري لتكلفة المشروع على الوحدات العقارية لتحليل الربحية ولا ينشئ قيوداً محاسبية.
"Sales, rental, reservation, collections, and CRM matching will be implemented in the next phases.",سيتم تنفيذ المبيعات والتأجير والحجوزات والتحصيلات والمطابقة مع العملاء في المراحل القادمة.
Unit Reservation,حجز وحدة عقارية
Unit Reservation Settings,إعدادات حجز الوحدات
Default Reservation Validity Days,مدة الحجز الافتراضية بالأيام
Auto Release Expired Reservations,تحرير الحجوزات المنتهية تلقائياً
Allow Reservation For Reserved Units,السماح بحجز الوحدات المحجوزة
Require Customer Or Lead,طلب عميل أو مهتم
Require Reservation Amount,طلب مبلغ الحجز
Warning Days Before Expiry,أيام التنبيه قبل انتهاء الحجز
Reservation Number Prefix,بادئة رقم الحجز
Reservation Number,رقم الحجز
Reservation Type,نوع الحجز
Reservation Date,تاريخ الحجز
Valid From,ساري من
Valid Until,ساري حتى
Party Name,اسم الطرف
Commercial Info,المعلومات التجارية
Reservation Amount,مبلغ الحجز
Reservation Terms,شروط الحجز
Future Conversion,التحويل المستقبلي
Converted To DocType,محول إلى نوع مستند
Converted To Document,محول إلى مستند
Converted On,تم التحويل في
Converted By,تم التحويل بواسطة
Previous Unit Status,حالة الوحدة السابقة
Previous Marketing Status,حالة التسويق السابقة
Cancelled Reason,سبب الإلغاء
Expiry Reason,سبب انتهاء الحجز
Converted,محول
Reserve,حجز
Convert,تحويل
Expire,إنهاء الصلاحية
Unit Reservation Workflow,مسار اعتماد حجز الوحدة
Unit Reservation Register,سجل حجوزات الوحدات
Active Unit Reservations,الحجوزات النشطة للوحدات
Expiring Unit Reservations,حجوزات الوحدات القريبة من الانتهاء
Unit Reservation Impact,أثر الحجز على الوحدات
Days Remaining,الأيام المتبقية
Within Days,خلال أيام
Reservation Rate %,نسبة الحجز %
Reservation Control,إدارة الحجز
Reservation Reports,تقارير الحجز
Reservation Visibility,متابعة الحجوزات
Reservation,الحجز
Sale,بيع
Rent,تأجير
Temporary reservation transaction for a real estate unit before Sales Contract or Lease Contract. Does not create accounting documents.,معاملة حجز مؤقتة لوحدة عقارية قبل عقد البيع أو عقد التأجير ولا تنشئ مستندات محاسبية.
"Controls real estate unit reservation behavior, validity, duplicate reservation rules, and release handling.",يضبط سلوك حجز الوحدات العقارية ومدة الصلاحية ومنع الحجز المكرر وآلية تحرير الوحدة.
Real estate unit being reserved.,الوحدة العقارية المطلوب حجزها.
Commercial intent of the temporary reservation.,الغرض التجاري من الحجز المؤقت.
Date until which the reservation remains valid.,التاريخ الذي يبقى الحجز سارياً حتى نهايته.
Non-accounting reservation amount for commercial tracking only.,مبلغ حجز غير محاسبي مخصص للمتابعة التجارية فقط.
"Unit reservation is available now. Sales contracts, lease contracts, installments, collections, and CRM matching will be implemented in the next phases.",أصبح حجز الوحدات متاحاً الآن. سيتم تنفيذ عقود البيع، عقود التأجير، الأقساط، التحصيلات، ومطابقة العملاء في المراحل القادمة.
Executive Presentation Center,مركز العرض التنفيذي
Project Overview,نظرة عامة على المشروع
Construction Cost Control,ضبط تكلفة الإنشاء
Procurement & Site Consumption,المشتريات واستهلاك الموقع
Contractor Financial Control,الرقابة المالية للمقاولين
CFO Forecasting,توقعات المدير المالي
Real Estate Inventory & Profitability,المخزون العقاري والربحية
Deep Financial Traceability,التتبع المالي التفصيلي
Presentation Flow,مسار العرض
End-to-End Development Flow,مسار التطوير الشامل
BOQ Total,إجمالي جدول الكميات
Committed Amount,قيمة الالتزامات
Certified Gross Amount,إجمالي القيمة المعتمدة
Certified Amount,القيمة المعتمدة
Net Payable,صافي المستحق
Retention Held,المحتجزات المحجوزة
Contractor Outstanding,رصيد المقاول المستحق
Cash Flow Risk,مخاطر التدفق النقدي
EVM CPI,مؤشر أداء التكلفة
EVM SPI,مؤشر أداء الجدول
EVM Overall Status,الحالة العامة للقيمة المكتسبة
Total Units,إجمالي الوحدات
Available Units,الوحدات المتاحة
Reserved Units,الوحدات المحجوزة
Rented Units,الوحدات المؤجرة
Expected Gross Margin,الهامش الإجمالي المتوقع
Expected Margin %,نسبة الهامش المتوقعة
Active Reservations,الحجوزات النشطة
Expiring Reservations,الحجوزات القريبة من الانتهاء
Project Financial Overview,النظرة المالية للمشروع
Unit Status Distribution,توزيع حالات الوحدات
Contractor Exposure,تعرض المقاولين
Project Performance Reports,تقارير أداء المشروع
% of Total,% of Total
A Real Estate Project already exists for this ERPNext Project.,A المشروع العقاري already exists for this ERPNext المشروع.
AC,AC
AFP Employee Contribution 7.25%,AFP Employee Contribution 7.25%
AFP Employer Contribution 8.75%,AFP Employer Contribution 8.75%
Accepted Qty,الكمية المقبولة
Accepted Qty cannot be negative.,Accepted Qty cannot be negative.
Account,الحساب
Account Information,بيانات الحساب
Account Name,اسم الحساب
Account {0} not found for company {1},Account {0} not found for company {1}
Accounting Dimension for {0} already exists with fieldname {1}. Expected {2}.,Accounting Dimension for {0} already exists with fieldname {1}. Expected {2}.
Accounting Dimensions / Traceability,الأبعاد المحاسبية والتتبع
Active Guarantees,Active الضمانات
Active ownership percentage for this Unit is {0}%.,Active ownership percentage for this الوحدة is {0}%.
Activity,Activity
Activity Schedule,جدول الأنشطة
Actual Advancement %,Actual Advancement %
Actual Progress %,Actual التقدم %
Actual Progress Percent,Actual التقدم Percent
Additional notes or explanation for this Advance Register.,ملاحظات أو توضيحات إضافية لهذا السجل: سجل السلف.
Additional notes or explanation for this Building.,ملاحظات أو توضيحات إضافية لهذا السجل: المبنى.
Additional notes or explanation for this Construction BOQ Item.,ملاحظات أو توضيحات إضافية لهذا السجل: بند جدول كميات البناء.
Additional notes or explanation for this Construction BOQ.,ملاحظات أو توضيحات إضافية لهذا السجل: جدول كميات البناء.
Additional notes or explanation for this Construction Work Item.,ملاحظات أو توضيحات إضافية لهذا السجل: بند عمل إنشائي.
Additional notes or explanation for this Contractor Account.,ملاحظات أو توضيحات إضافية لهذا السجل: حساب المقاول.
Additional notes or explanation for this Contractor Ledger Entry.,ملاحظات أو توضيحات إضافية لهذا السجل: حركة كشف المقاول.
Additional notes or explanation for this Cost Code.,ملاحظات أو توضيحات إضافية لهذا السجل: كود التكلفة.
Additional notes or explanation for this Floor.,ملاحظات أو توضيحات إضافية لهذا السجل: الطابق.
Additional notes or explanation for this Guarantee Register.,ملاحظات أو توضيحات إضافية لهذا السجل: سجل الضمانات.
Additional notes or explanation for this IPC Deduction.,ملاحظات أو توضيحات إضافية لهذا السجل: خصم مستخلص.
Additional notes or explanation for this Interim Payment Certificate Line.,ملاحظات أو توضيحات إضافية لهذا السجل: بند مستخلص مقاول.
Additional notes or explanation for this Interim Payment Certificate.,ملاحظات أو توضيحات إضافية لهذا السجل: مستخلص مقاول.
Additional notes or explanation for this Measurement Book.,ملاحظات أو توضيحات إضافية لهذا السجل: دفتر القياسات.
Additional notes or explanation for this Measurement Entry.,ملاحظات أو توضيحات إضافية لهذا السجل: قيد قياس.
Additional notes or explanation for this Project Cash Flow Forecast Period.,ملاحظات أو توضيحات إضافية لهذا السجل: فترة توقع التدفق النقدي.
Additional notes or explanation for this Project Cash Flow Forecast.,ملاحظات أو توضيحات إضافية لهذا السجل: توقع التدفق النقدي للمشروع.
Additional notes or explanation for this Project EVM Metrics.,ملاحظات أو توضيحات إضافية لهذا السجل: مؤشرات القيمة المكتسبة للمشروع.
Additional notes or explanation for this Project Financial Snapshot.,ملاحظات أو توضيحات إضافية لهذا السجل: الملخص المالي للمشروع.
Additional notes or explanation for this Property Owner.,ملاحظات أو توضيحات إضافية لهذا السجل: مالك العقار.
Additional notes or explanation for this Property Ownership.,ملاحظات أو توضيحات إضافية لهذا السجل: ملكية العقار.
Additional notes or explanation for this Real Estate Project.,ملاحظات أو توضيحات إضافية لهذا السجل: المشروع العقاري.
Additional notes or explanation for this Retention Register.,ملاحظات أو توضيحات إضافية لهذا السجل: سجل المحتجزات.
Additional notes or explanation for this Unit Cost Allocation Line.,ملاحظات أو توضيحات إضافية لهذا السجل: بند توزيع تكلفة الوحدة.
Additional notes or explanation for this Unit Cost Allocation.,ملاحظات أو توضيحات إضافية لهذا السجل: توزيع تكلفة الوحدات.
Additional notes or explanation for this Unit Reservation.,ملاحظات أو توضيحات إضافية لهذا السجل: حجز وحدة.
Additional notes or explanation for this Unit Type.,ملاحظات أو توضيحات إضافية لهذا السجل: نوع الوحدة.
Additional notes or explanation for this Unit.,ملاحظات أو توضيحات إضافية لهذا السجل: الوحدة.
Additional notes or explanation for this WBS Element.,ملاحظات أو توضيحات إضافية لهذا السجل: عنصر هيكل العمل.
Address,العنوان
Adjustment,Adjustment
Advance,Advance
Advance Amount,Advance المبلغ
Advance Amounts,مبالغ السلفة
Advance Balance,رصيد السلف
Advance Date,تاريخ السلفة
Advance Information,بيانات السلفة
Advance Limit,حد السلفة
Advance Outflow,تدفق الدفعات المقدمة الخارج
Advance Paid,Advance Paid
Advance Payment Guarantee,Advance Payment Guarantee
Advance Recovery Amount,Advance Recovery المبلغ
Advancement %,Advancement %
Advancement % cannot be negative.,Advancement % cannot be negative.
Advancement % cannot exceed 100.,Advancement % cannot exceed 100.
Advancement Type,Advancement Type
Advancement cannot go backwards. Current {0}% is less than previous {1}%.,Advancement cannot go backwards. Current {0}% is less than previous {1}%.
Alert Before Days,التنبيه قبل عدد أيام
All verified Measurement Entries are already linked to active IPCs.,All verified قيود القياس are already linked to active المستخلصs.
Allocated Amount,Allocated المبلغ
Allocated Cost Date,التكلفة الموزعة Date
Allocated Cost Source,التكلفة الموزعة Source
Allocation,Allocation
Allocation Basis,أساس التوزيع
Allocation Date,تاريخ التوزيع
Allocation Details,تفاصيل التوزيع
Allocation Information,بيانات التوزيع
Allocation Lines,بنود التوزيع
Allocation Method,طريقة التوزيع
Allocation Number,رقم التوزيع
Allocation Percent,نسبة التوزيع
Allocation Status,Allocation الحالة
Allocation must have lines before applying.,Allocation must have lines before applying.
Allow Blank Unit For Project Level Cost,Allow Blank الوحدة For المشروع Level Cost
Allow the daily expiry utility to expire overdue reservations and release units when safe.,يسمح لأداة الانتهاء اليومية بإنهاء الحجوزات المتأخرة وتحرير الوحدات عند توفر شروط الأمان.
Allows project-level costs to remain without a Unit dimension when not unit-specific.,Allows project-level costs to remain without a الوحدة dimension when not unit-specific.
Amended From,معدل من
Amount Field is required,المبلغ Field is required
Amount certified by the current IPC.,المبلغ certified by the current المستخلص.
Amount must be greater than zero,المبلغ must be greater than zero
Amount must be greater than zero.,المبلغ must be greater than zero.
Amounts,المبالغ
"An active Contractor Account already exists for this Project, Contractor, and Subcontract.","An active حساب المقاول already exists for this المشروع, المقاول, and Subcontract."
Approval Date,Approval Date
Approved BOQ that generated this operational work item.,جدول الكميات المعتمد الذي أنشأ بند العمل التشغيلي.
Approved By,تمت الموافقة بواسطة
Approved On,تاريخ الموافقة
Area,المساحة
Area UOM,المساحة وحدة القياس
Area and Unit Counts,المساحات وعدد الوحدات
Asset,Asset
Asset Category,Asset Category
Asset Name,Asset Name
At least one Budget Level row is required.,At least one Budget Level row is required.
At least one Construction Work Item is required.,At least one بند عمل إنشائي is required.
At least one Distribution Item is required.,At least one Distribution Item is required.
Attachment,المرفق
Attachment used as supporting documentation for this Measurement Entry.,Attachment used as supporting documentation for this قيد قياس.
"Auditable operational subledger entry for contractor certification, retention, invoices, payments, and differences.","Auditable operational subledger entry for contractor certification, retention, invoices, payments, and differences."
Authorize Advancement,Authorize Advancement
Auto JE Rule Skipped,Auto JE Rule Skipped
Auto Journal Entry from {0}: {1},Auto Journal Entry from {0}: {1}
Auto Reminder - {0},Auto Reminder - {0}
Auto-created: authorization required before invoice submission,Auto-created: authorization required before invoice submission
Automation,الأتمتة
Availability %,Availability %
BAC,BAC
BOQ / Budget,جدول الكميات / الميزانية
BOQ / WBS / Cost Code,جدول الكميات / هيكل العمل / كود التكلفة
BOQ Date,تاريخ جدول الكميات
BOQ Equipment Amount,BOQ Equipment المبلغ
BOQ Item Row ID,معرف صف بند جدول الكميات
BOQ Items,بنود جدول الكميات
BOQ Labor Amount,BOQ Labor المبلغ
BOQ Line Scope,نطاق بند جدول الكميات
BOQ Material Amount,BOQ Material المبلغ
BOQ Number,رقم جدول الكميات
BOQ Number is required.,رقم جدول الكميات is required.
BOQ Overhead Amount,BOQ Overhead المبلغ
BOQ Planning,تخطيط جدول الكميات
BOQ Qty,كمية جدول الكميات
BOQ Subcontract Amount,BOQ Subcontract المبلغ
BOQ Total Amount,BOQ إجمالي المبلغ
BOQ Type,نوع جدول الكميات
Balance,الرصيد
Bank,Bank
Bank Account is required to create a payment,Bank Account is required to create a payment
Bank Account is required to submit,Bank Account is required to submit
Bank Account is required to submit a Deposit Entry,Bank Account is required to submit a Deposit Entry
Bank Account {0} does not have a linked GL account,Bank Account {0} does not have a linked GL account
Basement,Basement
Basis,Basis
Bathrooms,دورات المياه
Bedrooms,غرف النوم
Beneficiary,Beneficiary
Beneficiary is required,Beneficiary is required
Billing %,Billing %
Blacklisted,Blacklisted
Blocked Units,Blocked الوحدةs
Book Information,بيانات الدفتر
Book Number,رقم الدفتر
Both ratio_name and period are required,Both ratio_name and period are required
Budget,Budget
Budget Consumed %,Budget Consumed %
Budget Level,مستوى الميزانية
Budget Level Code,Budget Level Code
Budget at Completion,الميزانية عند الإكمال
Budget vs Certified Variance,Budget vs Certified الفروقات
Budget vs Committed Variance,Budget vs Committed الفروقات
Budget vs Invoiced Variance,Budget vs Invoiced الفروقات
Building Code,المبنى Code
Building Code must be unique per Real Estate Project.,المبنى Code must be unique per المشروع العقاري.
Building Name,المبنى Name
Building Name is required.,المبنى Name is required.
Building Type,المبنى Type
Building is required.,المبنى is required.
"Building or tower within a Real Estate Project, used to group floors and units.","المبنى or tower within a المشروع العقاري, used to group floors and units."
By Area,By المساحة
CPI,CPI
CPI = Earned Value / Actual Cost when Actual Cost is greater than zero.,مؤشر أداء التكلفة = القيمة المكتسبة / التكلفة الفعلية عندما تكون التكلفة الفعلية أكبر من صفر.
CPI Status,CPI الحالة
CV,CV
Calculated Qty,الكمية المحسوبة
Calculated cost allocated to this unit line.,تكلفة محسوبة موزعة على هذا البند من الوحدة.
Calculated value updated automatically from linked records or document lines.,قيمة محسوبة يتم تحديثها تلقائياً من السجلات أو البنود المرتبطة.
Calculation Date,تاريخ الحساب
Cancel reason is required to cancel a Check Request,Cancel reason is required to cancel a Check Request
Cancellation reason is required.,Cancellation reason is required.
Cancelled Reason is required before cancelling a reservation.,سبب الإلغاء is required before cancelling a reservation.
Cancelled Reason is required.,سبب الإلغاء is required.
Cancelled allocations cannot be applied.,Cancelled allocations cannot be applied.
Cannot approve IPC with no lines.,Cannot approve المستخلص with no lines.
Cannot cancel IPC because linked Purchase Invoice is submitted.,Cannot cancel المستخلص because linked فاتورة الشراء is submitted.
Cannot create Accounting Dimension {0}: field {1} already exists on {2} as {3} / {4}.,Cannot create Accounting Dimension {0}: field {1} already exists on {2} as {3} / {4}.
Cash Deficit,عجز نقدي
Cash Deficit Amount,Cash Deficit المبلغ
